game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,action_team,home_score,away_score,score_diff,play_length,scoring_play,foul,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,total_line,referees,arena_location,arena,attendance,shot_team,shot_outcome,shooter,three_pt,free_throw,possession_before,possession_after
401604158,1/30/24,Boston College,Syracuse,1,1,19:44,2384,2384,Quinten Post Turnover.,home,0,0,0,0,FALSE,FALSE,0.67277937,0.5,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,2,1,19:24,2364,2364,Justin Taylor Turnover.,away,0,0,0,20,FALSE,FALSE,0.672454037,0.5,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Syracuse,Boston College
401604158,1/30/24,Boston College,Syracuse,3,1,19:12,2352,2352,Jaeden Zackery made Jumper.,home,2,0,2,12,TRUE,FALSE,0.710760777,0.54504752,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,Boston College,made,Jaeden Zackery,FALSE,FALSE,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,4,1,18:45,2325,2325,Judah Mintz missed Jumper.,away,2,0,2,27,FALSE,FALSE,0.710820406,0.54563548,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,Syracuse,missed,Judah Mintz,FALSE,FALSE,Syracuse,Boston College
401604158,1/30/24,Boston College,Syracuse,5,1,18:39,2319,2319,Quinten Post Defensive Rebound.,home,2,0,2,6,FALSE,FALSE,0.710832748,0.545767317,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Syracuse,Boston College
401604158,1/30/24,Boston College,Syracuse,6,1,18:26,2306,2306,Jaeden Zackery Turnover.,home,2,0,2,13,FALSE,FALSE,0.710858226,0.546054339,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,7,1,18:26,2306,2306,Judah Mintz Steal.,away,2,0,2,0,FALSE,FALSE,0.710858226,0.546054339,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,8,1,18:01,2281,2281,Judah Mintz missed Three Point Jumper.,away,2,0,2,25,FALSE,FALSE,0.710901885,0.546611215,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,Syracuse,missed,Judah Mintz,TRUE,FALSE,Syracuse,Boston College
401604158,1/30/24,Boston College,Syracuse,9,1,17:57,2277,2277,Quinten Post Defensive Rebound.,home,2,0,2,4,FALSE,FALSE,0.710908164,0.546700872,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Syracuse,Boston College
401604158,1/30/24,Boston College,Syracuse,10,1,17:51,2271,2271,Foul on Judah Mintz.,away,2,0,2,6,FALSE,TRUE,0.710917192,0.546835628,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Boston College,Boston College
401604158,1/30/24,Boston College,Syracuse,11,1,17:37,2257,2257,Prince Aligbe missed Three Point Jumper.,home,2,0,2,14,FALSE,FALSE,0.710936364,0.547151258,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,Boston College,missed,Prince Aligbe,TRUE,FALSE,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,12,1,17:34,2254,2254,Justin Taylor Defensive Rebound.,away,2,0,2,3,FALSE,FALSE,0.710940114,0.547219101,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,NA,NA,NA,NA,NA,Boston College,Syracuse
401604158,1/30/24,Boston College,Syracuse,13,1,17:27,2247,2247,Chris Bell missed Three Point Jumper.,away,2,0,2,7,FALSE,FALSE,0.710948353,0.547377673,6,6,4.5,148.5,Brian  O'Connell/Joe Lindsay/Raymie Styons,"Chestnut Hill, MA",Silvio O. Conte Forum,6611,Syracuse,missed,Chris Bell,TRUE,FALSE,Syracuse,Boston College
